code,team,team_gender,country,country_full,country_code,discipline,disciplines_code,events,athletes,coaches,athletes_codes,num_athletes,coaches_codes,num_coaches
ARCMTEAM3---CHN01,People's Republic of China,M,China,People's Republic of China,CHN,Archery,ARC,Men's Team,"['KAO Wenchao', 'LI Zhongyuan', 'WANG Yan']",,"['1913366', '1913367', '1913369']",3.0,,
ARCMTEAM3---COL01,Colombia,M,Colombia,Colombia,COL,Archery,ARC,Men's Team,"['ARCILA Santiago', 'ENRIQUEZ Jorge', 'HERNANDEZ VERA Andres']",,"['1935642', '1543412', '1935644']",3.0,,
ARCMTEAM3---FRA01,France,M,France,France,FRA,Archery,ARC,Men's Team,"['ADDIS Baptiste', 'CHIRAULT Thomas', 'VALLADONT Jean-Charles']",,"['1541270', '1541272', '1541275']",3.0,,
ARCMTEAM3---GBR01,Great Britain,M,Great Britain,Great Britain,GBR,Archery,ARC,Men's Team,"['HALL Conor', 'HALL Tom', 'WISE Alex']",,"['1560988', '1560989', '1561003']",3.0,,
ARCMTEAM3---IND01,India,M,India,India,IND,Archery,ARC,Men's Team,"['BOMMADEVARA Dhiraj', 'JADHAV Pravin Ramesh', 'RAI Tarundeep']",,"['1546108', '1546112', '1546110']",3.0,,
ARCMTEAM3---ITA01,Italy,M,Italy,Italy,ITA,Archery,ARC,Men's Team,"['MUSOLESI Federico', 'NESPOLI Mauro', 'PAOLI Alessandro']",,"['1915456', '1915454', '1915455']",3.0,,
ARCMTEAM3---JPN01,Japan,M,Japan,Japan,JPN,Archery,ARC,Men's Team,"['FURUKAWA Takaharu', 'NAKANISHI Junya', 'SAITO Fumiya']",,"['1890994', '1890985', '1890977']",3.0,,
ARCMTEAM3---KAZ01,Kazakhstan,M,Kazakhstan,Kazakhstan,KAZ,Archery,ARC,Men's Team,"['ABDULLIN Ilfat', 'YEREMENKO Alexandr', 'ZHANGBYRBAY Dauletkeldi']",,"['1931570', '1560342', '1931572']",3.0,,
ARCMTEAM3---KOR01,Republic of Korea,M,Korea,Republic of Korea,KOR,Archery,ARC,Men's Team,"['KIM Je Deok', 'KIM Woojin', 'LEE Wooseok']",,"['1902130', '1902135', '1902144']",3.0,,
ARCMTEAM3---MEX01,Mexico,M,Mexico,Mexico,MEX,Archery,ARC,Men's Team,"['GRANDE Matias', 'MARTINEZ WING Bruno', 'ROJAS Carlos']",,"['1535430', '1536467', '1536460']",3.0,,
ARCMTEAM3---TPE01,Chinese Taipei,M,Chinese Taipei,Chinese Taipei,TPE,Archery,ARC,Men's Team,"['LIN Zih-Siang', 'TANG Chih-Chun', 'TAI Yu-Hsuan']",,"['1564631', '1564628', '1564630']",3.0,,
ARCMTEAM3---TUR01,Türkiye,M,Türkiye,Türkiye,TUR,Archery,ARC,Men's Team,"['GAZOZ Mete', 'TUMER Berkim', 'YILDIRMIS Abdullah']",,"['1565000', '1565002', '1565006']",3.0,,
ARCWTEAM3---CHN01,People's Republic of China,W,China,People's Republic of China,CHN,Archery,ARC,Women's Team,"['AN Qixuan', 'LI Jiaman', 'YANG Xiaolei']",,"['1913382', '1913372', '1913380']",3.0,,
ARCWTEAM3---FRA01,France,W,France,France,FRA,Archery,ARC,Women's Team,"['BARBELIN Lisa', 'CORDEAU Amelie', 'LOPEZ Caroline']",,"['1541265', '1541266', '1541268']",3.0,,
ARCWTEAM3---GBR01,Great Britain,W,Great Britain,Great Britain,GBR,Archery,ARC,Women's Team,"['HEALEY Penny', 'HAVERS Megan', 'PITMAN Bryony']",,"['1560991', '1560990', '1561000']",3.0,,
ARCWTEAM3---GER01,Germany,W,Germany,Germany,GER,Archery,ARC,Women's Team,"['BAUER Katharina', 'KROPPEN Michelle', 'SCHWARZ Charline']",,"['1553257', '1553258', '1553285']",3.0,,
ARCWTEAM3---INA01,Indonesia,W,Indonesia,Indonesia,INA,Archery,ARC,Women's Team,"['CHOIRUNISA Diananda', 'KAMAL Syifa Nurafifah', 'OCTAVIA Rezza']",,"['1913983', '1913884', '1913851']",3.0,,
ARCWTEAM3---IND01,India,W,India,India,IND,Archery,ARC,Women's Team,"['BHAKAT Ankita', 'KAUR Bhajan', 'KUMARI Deepika']",,"['1546200', '1546133', '1546132']",3.0,,
ARCWTEAM3---KOR01,Republic of Korea,W,Korea,Republic of Korea,KOR,Archery,ARC,Women's Team,"['JEON Hunyoung', 'LIM Sihyeon', 'NAM Suhyeon']",,"['1902121', '1902147', '1902148']",3.0,,
ARCWTEAM3---MAS01,Malaysia,W,Malaysia,Malaysia,MAS,Archery,ARC,Women's Team,"['MASHAYIKH Syaqiera', 'MOHAMAD FAZIL Nurul Azreena', 'MOHAMAD ZAIRI Ariana Nur Dania']",,"['1893596', '1893598', '1893601']",3.0,,
ARCWTEAM3---MEX01,Mexico,W,Mexico,Mexico,MEX,Archery,ARC,Women's Team,"['RUIZ Angela', 'VALENCIA Alejandra', 'VAZQUEZ Ana']",,"['1535429', '1535420', '1536479']",3.0,,
ARCWTEAM3---NED01,Netherlands,W,Netherlands,Netherlands,NED,Archery,ARC,Women's Team,"['ROEFFEN Quinty', 'SCHLOESSER Gaby', 'van der WINKEL Laura']",,"['1973408', '1973411', '1973409']",3.0,,
ARCWTEAM3---TPE01,Chinese Taipei,W,Chinese Taipei,Chinese Taipei,TPE,Archery,ARC,Women's Team,"['CHIU Yi-Ching', 'LEI Chien-Ying', 'LI Tsai-Chi']",,"['1564635', '1564634', '1564638']",3.0,,
ARCWTEAM3---USA01,United States of America,W,United States,United States of America,USA,Archery,ARC,Women's Team,"['GNORIEGA Catalina', 'KAUFHOLD Casey', 'MUCINO Jennifer']",,"['1955599', '1955601', '1955608']",3.0,,
ARCXTEAM2---AUS01,Australia,X,Australia,Australia,AUS,Archery,ARC,Mixed Team,"['PAEGLIS Laura', 'BOUKOUVALAS Peter']",,"['1931124', '1931126']",2.0,,
ARCXTEAM2---BRA01,Brazil,X,Brazil,Brazil,BRA,Archery,ARC,Mixed Team,"['SLIACHTICAS CAETANO Ana Luiza', ""D'ALMEIDA Marcus""]",,"['1958706', '1958717']",2.0,,
ARCXTEAM2---CAN01,Canada,X,Canada,Canada,CAN,Archery,ARC,Mixed Team,"['CHENIER Virginie', 'PETERS Eric']",,"['1971736', '1971737']",2.0,,
ARCXTEAM2---CHN01,People's Republic of China,X,China,People's Republic of China,CHN,Archery,ARC,Mixed Team,"['YANG Xiaolei', 'WANG Yan']",,"['1913380', '1913369']",2.0,,
ARCXTEAM2---COL01,Colombia,X,Colombia,Colombia,COL,Archery,ARC,Mixed Team,"['RENDON MARTINEZ Ana', 'ARCILA Santiago']",,"['1935464', '1935642']",2.0,,
ARCXTEAM2---CZE01,Czechia,X,Czechia,Czechia,CZE,Archery,ARC,Mixed Team,"['HORACKOVA Marie', 'LI Adam']",,"['1894503', '1894507']",2.0,,
ARCXTEAM2---EGY01,Egypt,X,Egypt,Egypt,EGY,Archery,ARC,Mixed Team,"['ALI Jana', 'TOLBA Youssof']",,"['1889144', '1888973']",2.0,,
ARCXTEAM2---ESP01,Spain,X,Spain,Spain,ESP,Archery,ARC,Mixed Team,"['CANALES Elia', 'ACHA GONZALEZ Pablo']",,"['1563638', '1563633']",2.0,,
ARCXTEAM2---FRA01,France,X,France,France,FRA,Archery,ARC,Mixed Team,"['CORDEAU Amelie', 'ADDIS Baptiste']",,"['1541266', '1541270']",2.0,,
ARCXTEAM2---GBR01,Great Britain,X,Great Britain,Great Britain,GBR,Archery,ARC,Mixed Team,"['PITMAN Bryony', 'WISE Alex']",,"['1561000', '1561003']",2.0,,
ARCXTEAM2---GER01,Germany,X,Germany,Germany,GER,Archery,ARC,Mixed Team,"['KROPPEN Michelle', 'UNRUH Florian']",,"['1553258', '1553249']",2.0,,
ARCXTEAM2---INA01,Indonesia,X,Indonesia,Indonesia,INA,Archery,ARC,Mixed Team,"['CHOIRUNISA Diananda', 'PANGESTU Arif']",,"['1913983', '1913631']",2.0,,
ARCXTEAM2---IND01,India,X,India,India,IND,Archery,ARC,Mixed Team,"['BHAKAT Ankita', 'BOMMADEVARA Dhiraj']",,"['1546200', '1546108']",2.0,,
ARCXTEAM2---ISR01,Israel,X,Israel,Israel,ISR,Archery,ARC,Mixed Team,"['MOSHE Mikaella', 'DROR Roy']",,"['1937691', '1937678']",2.0,,
ARCXTEAM2---ITA01,Italy,X,Italy,Italy,ITA,Archery,ARC,Mixed Team,"['REBAGLIATI Chiara', 'NESPOLI Mauro']",,"['1915461', '1915454']",2.0,,
ARCXTEAM2---JPN01,Japan,X,Japan,Japan,JPN,Archery,ARC,Mixed Team,"['NODA Satsuki', 'NAKANISHI Junya']",,"['1890981', '1890985']",2.0,,
ARCXTEAM2---KOR01,Republic of Korea,X,Korea,Republic of Korea,KOR,Archery,ARC,Mixed Team,"['LIM Sihyeon', 'KIM Woojin']",,"['1902147', '1902135']",2.0,,
ARCXTEAM2---MDA01,Republic of Moldova,X,Republic of Moldova,Republic of Moldova,MDA,Archery,ARC,Mixed Team,"['MIRCA Alexandra', 'OLARU Dan']",,"['1898203', '1898162']",2.0,,
ARCXTEAM2---MEX01,Mexico,X,Mexico,Mexico,MEX,Archery,ARC,Mixed Team,"['VALENCIA Alejandra', 'GRANDE Matias']",,"['1535420', '1535430']",2.0,,
ARCXTEAM2---NED01,Netherlands,X,Netherlands,Netherlands,NED,Archery,ARC,Mixed Team,"['SCHLOESSER Gaby', 'WIJLER Steve']",,"['1973411', '1973414']",2.0,,
ARCXTEAM2---SLO01,Slovenia,X,Slovenia,Slovenia,SLO,Archery,ARC,Mixed Team,"['PINTARIC Zana', 'RAVNIKAR Ziga']",,"['1981582', '1981585']",2.0,,
ARCXTEAM2---TPE01,Chinese Taipei,X,Chinese Taipei,Chinese Taipei,TPE,Archery,ARC,Mixed Team,"['LEI Chien-Ying', 'TAI Yu-Hsuan']",,"['1564634', '1564630']",2.0,,
ARCXTEAM2---TUR01,Türkiye,X,Türkiye,Türkiye,TUR,Archery,ARC,Mixed Team,"['GOKKIR Elif Berra', 'GAZOZ Mete']",,"['1565024', '1565000']",2.0,,
ARCXTEAM2---UKR01,Ukraine,X,Ukraine,Ukraine,UKR,Archery,ARC,Mixed Team,"['MARCHENKO Veronika', 'USACH Mykhailo']",,"['1571753', '1571766']",2.0,,
ARCXTEAM2---USA01,United States of America,X,United States,United States of America,USA,Archery,ARC,Mixed Team,"['KAUFHOLD Casey', 'ELLISON Brady']",,"['1955601', '1955595']",2.0,,
ARCXTEAM2---UZB01,Uzbekistan,X,Uzbekistan,Uzbekistan,UZB,Archery,ARC,Mixed Team,"['ABDUSATTOROVA Ziyodakhon', 'SADIKOV Amirkhon']",,"['1562602', '1562613']",2.0,,
ARCXTEAM2---VIE01,Vietnam,X,Vietnam,Vietnam,VIE,Archery,ARC,Mixed Team,"['DO Thi Anh Nguyet', 'le Quoc Phong']",,"['1563314', '1563324']",2.0,,
ATHM4X100M--AUS01,Australia,M,Australia,Australia,AUS,Athletics,ATH,Men's 4 x 100m Relay,"['AZZOPARDI Joshua', 'BROWNING Rohan', 'DESPARD Jacob', 'KENNEDY Lachlan', 'SULTANA Sebastian']",,"['1939801', '1939851', '1939785', '1939812', '1939856']",5.0,,
ATHM4X100M--BRA01,Brazil,M,Brazil,Brazil,BRA,Athletics,ATH,Men's 4 x 100m Relay,"['BARDI Felipe', 'CAMILO Paulo Andre', 'CARDOSO Erik', 'CORREA Renan', 'dos SANTOS Gabriel']",,"['1951967', '1952123', '1951946', '1952132', '1951974']",5.0,,
ATHM4X100M--CAN01,Canada,M,Canada,Canada,CAN,Athletics,ATH,Men's 4 x 100m Relay,"['ADJIBI Eliezer', 'ASEMOTA Duan', 'BLAKE Jerome', 'BROWN Aaron', 'de GRASSE Andre']",,"['1974038', '1974049', '1974065', '1974072', '1974096']",5.0,,
ATHM4X100M--CHN01,People's Republic of China,M,China,People's Republic of China,CHN,Athletics,ATH,Men's 4 x 100m Relay,"['CHEN Jiapeng', 'DENG Zhijian', 'WU Zhiqiang', 'XIE Zhenye', 'YAN Haibin']",,"['1918954', '1918936', '1918961', '1918943', '1918962']",5.0,,
ATHM4X100M--FRA01,France,M,France,France,FRA,Athletics,ATH,Men's 4 x 100m Relay,"['ACHI-YAO Harold', 'ERIUS Jeff', 'PRIAM Aymeric', 'VERMONT Dylan', 'ZEZE Meba Mickael']",,"['1910609', '1910733', '1911898', '1911975', '1911988']",5.0,,
ATHM4X100M--GBR01,Great Britain,M,Great Britain,Great Britain,GBR,Athletics,ATH,Men's 4 x 100m Relay,"['AZU Jeremiah', 'HINCHLIFFE Louie', 'HUGHES Zharnel', 'KILTY Richard', 'MITCHELL-BLAKE Nethaneel']",,"['1924439', '3557190', '1924431', '1924442', '1924457']",5.0,,
ATHM4X100M--GER01,Germany,M,Germany,Germany,GER,Athletics,ATH,Men's 4 x 100m Relay,"['ALMAS Deniz', 'ANSAH Owen', 'ANSAH-PEPRAH Lucas', 'HARTMANN Joshua', 'KRANZ Kevin']",,"['1920083', '1920355', '1920085', '1920122', '1920252']",5.0,,
ATHM4X100M--GHA01,Ghana,M,Ghana,Ghana,GHA,Athletics,ATH,Men's 4 x 100m Relay,"['AMOAH Joseph Paul', 'AZAMATI Benjamin', 'BOTSIO Isaac', 'FUSEINI Ibrahim', 'SAMINU Abdul-Rasheed']",,"['1965714', '1964967', '1980759', '1980587', '1980783']",5.0,,
ATHM4X100M--ITA01,Italy,M,Italy,Italy,ITA,Athletics,ATH,Men's 4 x 100m Relay,"['ALI Chituru', 'JACOBS Lamont Marcell', 'MELLUZZO Matteo', 'PATTA Lorenzo', 'RIGALI Roberto']",,"['1552156', '1552167', '1552172', '1552173', '1568465']",5.0,,
ATHM4X100M--JAM01,Jamaica,M,Jamaica,Jamaica,JAM,Athletics,ATH,Men's 4 x 100m Relay,"['BLAKE Ackeem', 'GORDON Jehlani', 'SEVILLE Oblique', 'THOMPSON Kishane', 'WALKER Jelani']",,"['1555502', '1959450', '1567483', '1980161', '1912116']",5.0,,
ATHM4X100M--JPN01,Japan,M,Japan,Japan,JPN,Athletics,ATH,Men's 4 x 100m Relay,"['HIGASHIDA Akihiro', 'KIRYU Yoshihide', 'SAKAI Ryuichiro', 'SANI BROWN Abdul Hakim', 'YANAGITA Hiroki']",,"['1919832', '1919911', '1921596', '1921599', '1921878']",5.0,,
ATHM4X100M--LBR01,Liberia,M,Liberia,Liberia,LBR,Athletics,ATH,Men's 4 x 100m Relay,"['FAHNBULLEH Joseph', 'MATADI Emmanuel', 'REEVES Jabez', 'SHERMAN John', 'SIRLEAF Akeem']",,"['1897817', '1897809', '1897821', '1897827', '1897831']",5.0,,
ATHM4X100M--NED01,Netherlands,M,Netherlands,Netherlands,NED,Athletics,ATH,Men's 4 x 100m Relay,"['ADIGIDA Onyema', 'AFRIFA Elvis', 'BURNET Taymir', 'EKPO Nsikak', 'MO-AJOK Xavi']",,"['1972064', '1972066', '1972084', '1972040', '1972133']",5.0,,
ATHM4X100M--NGR01,Nigeria,M,Nigeria,Nigeria,NGR,Athletics,ATH,Men's 4 x 100m Relay,"['AJAYI Kayinsola', 'AKINTOLA Alaba Olukunle', 'ASHE Favour Oghene Tejiri', 'OGHENEBRUME Godson Oke']",,"['1969332', '1929250', '1969351', '1933137']",4.0,,
ATHM4X100M--RSA01,South Africa,M,South Africa,South Africa,RSA,Athletics,ATH,Men's 4 x 100m Relay,"['MASWANGANYI Shaun', 'NKOANA Bradley', 'RICHARDSON Benjamin', 'SIMBINE Akani', 'WALAZA Bayanda']",,"['1981059', '4343340', '1981060', '1981055', '4339445']",5.0,,
ATHM4X100M--USA01,United States of America,M,United States,United States of America,USA,Athletics,ATH,Men's 4 x 100m Relay,"['BEDNAREK Kenneth', 'COLEMAN Christian', 'KERLEY Fred', 'KING Kyree', 'LYLES Noah']",,"['1960659', '1960125', '1960958', '1965262', '1960173']",5.0,,
ATHM4X400M--BEL01,Belgium,M,Belgium,Belgium,BEL,Athletics,ATH,Men's 4 x 400m Relay,"['BORLEE Dylan', 'DOOM Alexander', 'IGUACEL Christian', 'MABILLE Florent', 'SACOOR Jonathan']",,"['1895555', '1895568', '1895577', '1895581', '1895590']",5.0,,
ATHM4X400M--BOT01,Botswana,M,Botswana,Botswana,BOT,Athletics,ATH,Men's 4 x 400m Relay,"['EPPIE Lee Bhekempilo', 'KEBINATSHIPI Busang Collen', 'NDORI Bayapo', 'PESELA Anthony', 'SCOTCH Leungo']",,"['4975921', '1950939', '1950897', '1951506', '1950918']",5.0,,
ATHM4X400M--BRA01,Brazil,M,Brazil,Brazil,BRA,Athletics,ATH,Men's 4 x 400m Relay,"['CARVALHO Lucas', 'HERNANDES MENDES Douglas', 'LIMA Matheus', 'SOARES LIMA Jadson Erick', 'VILAR Lucas']",,"['1952028', '1951942', '1952077', '1952006', '1952051']",5.0,,
ATHM4X400M--ESP01,Spain,M,Spain,Spain,ESP,Athletics,ATH,Men's 4 x 400m Relay,"['ARENAS Julio', 'CANAL Inaki', 'GARCIA David', 'GUIJARRO Manuel', 'HUSILLOS Oscar']",,"['1904052', '1904078', '1904129', '1904139', '1904146']",5.0,,
ATHM4X400M--FRA01,France,M,France,France,FRA,Athletics,ATH,Men's 4 x 400m Relay,"['BIRON Gilles', 'KOUNTA Muhammad Abdallah', 'PREVOT Loic', 'SAIDY Fabrisio', 'SPILLMANN Yann']",,"['1910644', '1910791', '1911897', '1911929', '1911947']",5.0,,
ATHM4X400M--GBR01,Great Britain,M,Great Britain,Great Britain,GBR,Athletics,ATH,Men's 4 x 400m Relay,"['DOBSON Charles', 'HARRIES Toby', 'HAYDOCK-WILSON Alex', 'HUDSON-SMITH Matthew', 'REARDON Samuel', 'CARVELL Charlie']",,"['1924409', '4663897', '1924426', '1924430', '1956853', '1924402']",6.0,,
ATHM4X400M--GER01,Germany,M,Germany,Germany,GER,Athletics,ATH,Men's 4 x 400m Relay,"['BREDAU Jean Paul', 'DAMMERMANN Fabian', 'KOCH Marc', 'PRENZ Tyrel', 'WAGNER Julian']",,"['1920092', '1920254', '1920152', '1920366', '1920234']",5.0,,
ATHM4X400M--IND01,India,M,India,India,IND,Athletics,ATH,Men's 4 x 400m Relay,"['JACOB Amoj', 'RAMESH Rajesh', 'TAMILARASAN Santhosh Kumar', 'VARIYATHODI Muhammed Ajmal', 'YAHIYA Muhammed Anas']",,"['1556210', '1544338', '1544339', '1544335', '1544336']",5.0,,
ATHM4X400M--ITA01,Italy,M,Italy,Italy,ITA,Athletics,ATH,Men's 4 x 400m Relay,"['BIANCIARDI Lapo', 'LOPEZ Brayan', 'MELI Riccardo', 'RE Davide', 'SITO Luca']",,"['1552157', '1552169', '1552171', '1552177', '1552296']",5.0,,
ATHM4X400M--JPN01,Japan,M,Japan,Japan,JPN,Athletics,ATH,Men's 4 x 400m Relay,"['KAWABATA Kaito', 'NAKAJIMA Yuki Joseph', 'SATO Fuga', 'SATO Kentaro', 'YOSHIZU Takuho']",,"['1919895', '1921553', '1921605', '1921607', '1921891']",5.0,,
ATHM4X400M--NGR01,Nigeria,M,Nigeria,Nigeria,NGR,Athletics,ATH,Men's 4 x 400m Relay,"['AMENE Dubem', 'OGAZI Samuel', 'OJELI Ifeanyi Emmanuel', 'OKEZIE Chidi', 'SUNDAY Israel Okon']",,"['1976773', '1986723', '1928533', '1929428', '1928863']",5.0,,
ATHM4X400M--POL01,Poland,M,Poland,Poland,POL,Athletics,ATH,Men's 4 x 400m Relay,"['DUSZYNSKI Kajetan', 'GRZEGORZEWICZ Patryk', 'KAROLEWSKI Marcin', 'SOLTYSIAK Daniel', 'ZALEWSKI Karol']",,"['1573079', '1573091', '1572975', '1573174', '1573185']",5.0,,
ATHM4X400M--RSA01,South Africa,M,South Africa,South Africa,RSA,Athletics,ATH,Men's 4 x 400m Relay,"['ISAACS Gardeo', 'NENE Zakithi', 'NORTJE Antonie Matthys', 'PILLAY Lythe', 'SWART Adrian']",,"['1981070', '1981066', '1981103', '1981067', '4338221']",5.0,,
ATHM4X400M--TTO01,Trinidad and Tobago,M,Trinidad and Tobago,Trinidad and Tobago,TTO,Athletics,ATH,Men's 4 x 400m Relay,"['JOSEPH Elijah', 'MARCHAN Jaden', 'Mc KAY Shakeem', 'QUOW Renny', 'RICHARDS Jereem']",,"['4982175', '4975207', '1911263', '1911367', '1911407']",5.0,,
ATHM4X400M--USA01,United States of America,M,United States,United States of America,USA,Athletics,ATH,Men's 4 x 400m Relay,"['BAILEY Christopher', 'HALL Quincy', 'LINDSEY Courtney', 'NORMAN Michael', 'NORWOOD Vernon']",,"['1960604', '1960177', '1965202', '1965289', '1960111']",5.0,,
ATHM4X400M--ZAM01,Zambia,M,Zambia,Zambia,ZAM,Athletics,ATH,Men's 4 x 400m Relay,"['LUCHEMBE Kennedy', 'MBEWE Thomson', 'MULENGA Chanda', 'NYAMBE Patrick Kakozi', 'SAMUKONGA Muzala']",,"['1937604', '1938665', '1936402', '1938646', '1937531']",5.0,,
ATHW4X100M--AUS01,Australia,W,Australia,Australia,AUS,Athletics,ATH,Women's 4 x 100m Relay,"['CONNOLLY Ella', 'EDWARDS Kristie', 'LANE Ebony', 'MASTERS Bree', 'STOILOVA Aleksandra']",,"['1939764', '1939808', '1939761', '1939734', '3501795']",5.0,,
ATHW4X100M--BEL01,Belgium,W,Belgium,Belgium,BEL,Athletics,ATH,Women's 4 x 100m Relay,"['JEHAES Marine', 'MEHUYS Elise', 'NKANSA Delphine', 'ROSIUS Rani', 'VINCKE Rani']",,"['1895578', '1895582', '1895585', '1903105', '1895597']",5.0,,
ATHW4X100M--CAN01,Canada,W,Canada,Canada,CAN,Athletics,ATH,Women's 4 x 100m Relay,"['EMMANUEL-AHYE Crystal', 'LECLAIR Marie-Eloise', 'LEDUC Audrey', 'MADOGO Jacqueline', 'McCREATH Sade']",,"['1974106', '1974168', '1974169', '1974192', '1974203']",5.0,,
ATHW4X100M--CIV01,Côte d'Ivoire,W,Côte d'Ivoire,Côte d'Ivoire,CIV,Athletics,ATH,Women's 4 x 100m Relay,"['AHOURE-DEMPS Murielle', 'KONE Maboundou', 'TA LOU-SMITH Marie-Josee', 'TIE Whitney']",,"['1564261', '1538505', '1951507', '1539548']",4.0,,
ATHW4X100M--ESP01,Spain,W,Spain,Spain,ESP,Athletics,ATH,Women's 4 x 100m Relay,"['GARCIA Paula', 'MOLINA-PRADOS Sonia', 'NAVERO Esther', 'PEREZ Maria Isabel', 'SEVILLA Paula']",,"['1904124', '1904179', '1904187', '1905377', '1905421']",5.0,,
ATHW4X100M--FRA01,France,W,France,France,FRA,Athletics,ATH,Women's 4 x 100m Relay,"['GALET Chloe', 'JOSEPH Gemima', 'OLIERE Orlann', 'PARE Maroussia', 'RICHARD Sarah']",,"['1910744', '1910785', '1911877', '1911883', '1911916']",5.0,,
ATHW4X100M--GBR01,Great Britain,W,Great Britain,Great Britain,GBR,Athletics,ATH,Women's 4 x 100m Relay,"['ASHER-SMITH Dina', 'HENRY Desiree', 'HUNT Amy', 'LANSIQUOT Imani', 'NEITA Daryll']",,"['1924384', '1956843', '1924432', '1924446', '1924460']",5.0,,
ATHW4X100M--GER01,Germany,W,Germany,Germany,GER,Athletics,ATH,Women's 4 x 100m Relay,"['BURGHARDT Alexandra', 'HAASE Rebekka', 'JUNK Sophia', 'LUECKENKEMPER Gina', 'MAYER Lisa']",,"['1920096', '1920119', '1920142', '1920164', '1920169']",5.0,,
ATHW4X100M--ITA01,Italy,W,Italy,Italy,ITA,Athletics,ATH,Women's 4 x 100m Relay,"['de MASI Arianna', 'DOSSO Zaynab', 'HOOPER Gloria', 'PAVESE Alessia', 'SIRAGUSA Irene']",,"['1911081', '1552163', '1552166', '1552174', '1552295']",5.0,,
ATHW4X100M--JAM01,Jamaica,W,Jamaica,Jamaica,JAM,Athletics,ATH,Women's 4 x 100m Relay,"['CLAYTON Tia', 'FORBES Shashalee', 'FRASER-PRYCE Shelly-Ann', 'JACKSON Shericka', 'REID Alana']",,"['1890561', '1543422', '1880728', '1546073', '1890785']",5.0,,
ATHW4X100M--NED01,Netherlands,W,Netherlands,Netherlands,NED,Athletics,ATH,Women's 4 x 100m Relay,"['BISSCHOPS Minke', 'SAMUEL Jamile', 'SEDNEY Naomi', 'van den BERG Isabel', 'van HUNENSTIJN Marije']",,"['1972075', '1972249', '1972254', '4968848', '1972111']",5.0,,
ATHW4X100M--NGR01,Nigeria,W,Nigeria,Nigeria,NGR,Athletics,ATH,Women's 4 x 100m Relay,"['CHUKWUMA Rosemary', 'EYAKPOBEYAN Justina Tiana', 'GODBLESS Tima', 'OFILI Favour', 'OLAJIDE Olayinka']",,"['1969607', '1928894', '1969457', '1969547', '1933451']",5.0,,
ATHW4X100M--POL01,Poland,W,Poland,Poland,POL,Athletics,ATH,Women's 4 x 100m Relay,"['KOTWILA Martyna', 'NIEMCZYK Magdalena', 'STEFANOWICZ Magdalena', 'SWOBODA Ewa', 'TSIMANOUSKAYA Krystsina']",,"['1573124', '1573154', '1573175', '1573013', '1573178']",5.0,,
ATHW4X100M--SUI01,Switzerland,W,Switzerland,Switzerland,SUI,Athletics,ATH,Women's 4 x 100m Relay,"['ATCHO-JAQUIER Sarah', 'FREY Geraldine', 'KAMBUNDJI Mujinga', 'KORA Salome', 'van CAMP Emma']",,"['1976431', '1976527', '1977673', '1977687', '4967517']",5.0,,
ATHW4X100M--TTO01,Trinidad and Tobago,W,Trinidad and Tobago,Trinidad and Tobago,TTO,Athletics,ATH,Women's 4 x 100m Relay,"['AHYE Michelle-Lee', 'BERTRAND Leah', 'FREDERICK Sanaa', 'FREDERICK Sole', 'LEWIS Akilah']",,"['1907957', '1908830', '1908873', '1908875', '1911246']",5.0,,
ATHW4X100M--USA01,United States of America,W,United States,United States of America,USA,Athletics,ATH,Women's 4 x 100m Relay,"['DAVIS Tamari', 'HOBBS Aleia', 'JEFFERSON Melissa', ""RICHARDSON Sha'carri"", 'TERRY Twanisha']",,"['1960709', '1960115', '1961011', '1960181', '1965942']",5.0,,
ATHW4X400M--BEL01,Belgium,W,Belgium,Belgium,BEL,Athletics,ATH,Women's 4 x 400m Relay,"['BOLINGO Cynthia', 'LAUS Camille', 'PONETTE Helena', 'SCHOEMAKER Liefde', 'VERVAET Imke']",,"['1915348', '1895580', '1895589', '1895592', '1915358']",5.0,,
ATHW4X400M--CAN01,Canada,W,Canada,Canada,CAN,Athletics,ATH,Women's 4 x 400m Relay,"['CONSTANTINE Kyra', 'GALE Lauren', 'NIJJAR Jasneet', 'SHERAR Zoe', 'STIVERNE Aiyanna']",,"['1974087', '1974120', '4846949', '1974302', '1974316']",5.0,,
ATHW4X400M--CUB01,Cuba,W,Cuba,Cuba,CUB,Athletics,ATH,Women's 4 x 400m Relay,"['ALMANZA Rose Mary', 'DIAGO MESA Sahily', 'GOMEZ Roxana', 'PADRON Melissa', 'VEITIA Lisneidy']",,"['1556381', '1556384', '1556388', '1954673', '1559918']",5.0,,
ATHW4X400M--ESP01,Spain,W,Spain,Spain,ESP,Athletics,ATH,Women's 4 x 400m Relay,"['AVILES Carmen', 'CAMBLOR Barbara', 'HERVAS Blanca', 'SANTIDRIAN Eva', 'SEGURA Berta']",,"['1904055', '1904077', '1904144', '1905417', '1905419']",5.0,,
ATHW4X400M--FRA01,France,W,France,France,FRA,Athletics,ATH,Women's 4 x 400m Relay,"['BROSSIER Amandine', 'DEAU Alexe', 'ISCAYE Diana', 'SYLLA Sounkamba', 'VEYSSIERE Marjorie']",,"['1910657', '1910704', '1910780', '1911949', '1911976']",5.0,,
